MARCA,MODELO,URL,PRECIO_LISTA,PRECIO_BONO,FECHA_EXTRACCION
BAJAJ,Dominar 250,https://motochile.cl/dominar250/,3.199.990,,2023-02-28 10:10:39.339638
BAJAJ,Dominar 400,https://motochile.cl/dominar400/,4.100.000,,2023-02-28 10:10:58.622455
BAJAJ,Pulsar 150,https://motochile.cl/pulsar-td150/, 1.799.990,,2023-02-28 10:11:16.902719
BAJAJ,Pulsar 160 NSFI,https://motochile.cl/pulsar-ns160/, 2.249.990,,2023-02-28 10:11:37.408496
BAJAJ,Pulsar 160 NSFI,https://motochile.cl/pulsar-ns160/, 2.249.990,,2023-02-28 10:11:37.408496
BAJAJ,Pulsar 200 NSFI,,no encontrado,,2023-02-28 10:11:42.190447
BAJAJ,Pulsar 200 NSFI ABS,https://motochile.cl/pulsar-ns200-abs/,2.849.990,,2023-02-28 10:12:04.315916
BAJAJ,Pulsar 200 RS,https://motochile.cl/pulsar-rs200/,3.199.990,,2023-02-28 10:12:22.199606
BAJAJ,Pulsar 125,https://motochile.cl/pulsar-ns125/,1.599.990,,2023-02-28 10:12:40.635874
BAJAJ,Dominar 250,https://motochile.cl/dominar250/,3.199.990,,2023-02-28 11:25:22.741346
BAJAJ,Dominar 400,https://motochile.cl/dominar400/,4.100.000,,2023-02-28 11:25:43.068791
BAJAJ,Pulsar 150,https://motochile.cl/pulsar-td150/, 1.799.990,,2023-02-28 11:26:02.941530
BAJAJ,Pulsar 160 NSFI,https://motochile.cl/pulsar-ns160/, 2.249.990,,2023-02-28 11:26:21.220956
BAJAJ,Pulsar 160 NSFI,https://motochile.cl/pulsar-ns160/, 2.249.990,,2023-02-28 11:26:21.220956
BAJAJ,Pulsar 200 NSFI,,no encontrado,,2023-02-28 11:26:27.418279
BAJAJ,Pulsar 200 NSFI ABS,https://motochile.cl/pulsar-ns200-abs/,2.849.990,,2023-02-28 11:26:53.554015
BAJAJ,Pulsar 200 RS,https://motochile.cl/pulsar-rs200/,3.199.990,,2023-02-28 11:27:18.304916
BAJAJ,Pulsar 125,https://motochile.cl/pulsar-ns125/,1.599.990,,2023-02-28 11:27:40.108906
