MARCA,MODELO,URL,PRECIO_LISTA,PRECIO_BONO,FECHA_EXTRACCION
SUZUKI,DL1050XT,https://www.suzukimotos.cl/producto/v-strom-1050/, 13.999.900,,2023-02-28 10:14:43.089974
SUZUKI,DRZ-125L,https://www.suzukimotos.cl/producto/dr-z125l/, 2.999.900,,2023-02-28 10:14:54.948080
SUZUKI,GSX 150,https://www.suzukimotos.cl/producto/gixxer/, 2.099.900,,2023-02-28 10:15:08.769639
SUZUKI,GSX-R 150,https://www.suzukimotos.cl/producto/gsx-r-150/, 3.199.900,,2023-02-28 10:15:23.179404
SUZUKI,GSX-S 150,https://www.suzukimotos.cl/producto/gsx-s-150/, 2.999.900,,2023-02-28 10:15:37.726515
SUZUKI,GSX150F,https://www.suzukimotos.cl/producto/gixxer-sf-fi/, 2.399.900,,2023-02-28 10:15:51.560019
SUZUKI,GSXR1000R,https://www.suzukimotos.cl/producto/gsx-r-1000/, 17.999.900,,2023-02-28 10:16:06.794798
SUZUKI,INTRUDER 150,https://www.suzukimotos.cl/producto/intruder/, 2.599.900,,2023-02-28 10:16:21.441256
SUZUKI,RMZ-250,https://www.suzukimotos.cl/producto/rmz250/, 7.999.900,,2023-02-28 10:16:36.290817
SUZUKI,GSX-S 750,https://www.suzukimotos.cl/producto/gsr750a/, 10.799.900,,2023-02-28 10:16:51.382506
SUZUKI,SV 650,https://www.suzukimotos.cl/producto/sv650/, 8.649.900,,2023-02-28 10:17:05.822819
SUZUKI,GIXXER FI 250,https://www.suzukimotos.cl/producto/gixxer-fi-250/, 4.199.900,,2023-02-28 10:17:19.974782
SUZUKI,GIXXER 150 FI (2023),https://www.suzukimotos.cl/producto/gixxer-150-fi-2023/, 2.599.900,,2023-02-28 10:17:34.866240
SUZUKI,GZ 150,https://www.suzukimotos.cl/producto/gz150/, 2.499.900,,2023-02-28 10:17:49.271029
SUZUKI,GSX-R 750,https://www.suzukimotos.cl/producto/gsx-r-750/, 13.699.900,,2023-02-28 10:18:08.026233
SUZUKI,V-STROM 650,https://www.suzukimotos.cl/producto/v-strom-650/, 10.399.900,,2023-02-28 10:18:24.076486
SUZUKI,RMZ-450,https://www.suzukimotos.cl/producto/rmz450/, 8.599.900,,2023-02-28 10:18:37.428179
SUZUKI,DL1050XT,https://www.suzukimotos.cl/producto/v-strom-1050/, 13.999.900,,2023-02-28 11:27:56.473861
SUZUKI,DRZ-125L,https://www.suzukimotos.cl/producto/dr-z125l/, 2.999.900,,2023-02-28 11:28:12.494163
SUZUKI,GSX 150,https://www.suzukimotos.cl/producto/gixxer/, 2.099.900,,2023-02-28 11:28:29.892118
SUZUKI,GSX-R 150,https://www.suzukimotos.cl/producto/gsx-r-150/, 3.199.900,,2023-02-28 11:28:46.876542
SUZUKI,GSX-S 150,https://www.suzukimotos.cl/producto/gsx-s-150/, 2.999.900,,2023-02-28 11:29:03.503724
SUZUKI,GSX150F,https://www.suzukimotos.cl/producto/gixxer-sf-fi/, 2.399.900,,2023-02-28 11:29:20.665918
SUZUKI,GSXR1000R,https://www.suzukimotos.cl/producto/gsx-r-1000/, 17.999.900,,2023-02-28 11:29:39.325290
SUZUKI,INTRUDER 150,https://www.suzukimotos.cl/producto/intruder/, 2.599.900,,2023-02-28 11:29:57.054854
SUZUKI,RMZ-250,https://www.suzukimotos.cl/producto/rmz250/, 7.999.900,,2023-02-28 11:30:14.723091
SUZUKI,GSX-S 750,https://www.suzukimotos.cl/producto/gsr750a/, 10.799.900,,2023-02-28 11:30:33.843764
SUZUKI,SV 650,https://www.suzukimotos.cl/producto/sv650/, 8.649.900,,2023-02-28 11:30:53.170679
SUZUKI,GIXXER FI 250,https://www.suzukimotos.cl/producto/gixxer-fi-250/, 4.199.900,,2023-02-28 11:31:10.980118
SUZUKI,GIXXER 150 FI (2023),https://www.suzukimotos.cl/producto/gixxer-150-fi-2023/, 2.599.900,,2023-02-28 11:31:28.812254
SUZUKI,GZ 150,https://www.suzukimotos.cl/producto/gz150/, 2.499.900,,2023-02-28 11:31:47.635708
SUZUKI,GSX-R 750,https://www.suzukimotos.cl/producto/gsx-r-750/, 13.699.900,,2023-02-28 11:32:04.687102
SUZUKI,V-STROM 650,https://www.suzukimotos.cl/producto/v-strom-650/, 10.399.900,,2023-02-28 11:32:23.230796
SUZUKI,RMZ-450,https://www.suzukimotos.cl/producto/rmz450/, 8.599.900,,2023-02-28 11:32:41.064177
