MARCA,MODELO,URL,PRECIO_LISTA,PRECIO_DESDE,PRECIO_BONO,legal_bono,FECHA_EXTRACCION
YAMAHA,FZ-250,https://www.yamahamotos.cl/producto/new-fz-25/,3.190.000,3.090.000,0,0.0,2023-02-28 10:52:17.401929
YAMAHA,FZ-S,https://www.yamahamotos.cl/producto/fz-s/,2.790.000,2.390.000,0,0.0,2023-02-28 10:52:21.026443
YAMAHA,FZN-150,https://www.yamahamotos.cl/producto/fzn150/,2.149.000 ,2.149.000,2.149.000,0.0,2023-02-28 10:53:09.501900
YAMAHA,KODIAK 450,https://www.yamahamotos.cl/producto/kodiak-450/,10.190.000,10.190.000,0,0.0,2023-02-28 10:53:12.907797
YAMAHA,MT-03A,https://www.yamahamotos.cl/producto/yamaha-mt-03/#motos,6.090.000,5.690.000,0,400.0,2023-02-28 10:53:16.917775
YAMAHA,MT-07A,https://www.yamahamotos.cl/producto/yamaha-mt-07/,8.990.000,8.990.000,0,0.0,2023-02-28 10:53:20.259999
YAMAHA,MT-09A,https://www.yamahamotos.cl/producto/mt09/,12.340.000,12.340.000,0,0.0,2023-02-28 10:53:23.514966
YAMAHA,MT-10,https://www.yamahamotos.cl/producto/mt-10-2/,15.790.000,15.790.000,0,0.0,2023-02-28 10:53:26.833634
YAMAHA,NMAX,https://www.yamahamotos.cl/producto/nmax-connected/,3.890.000,3.590.000,0,300.0,2023-02-28 10:53:31.116719
YAMAHA,PW-50,https://www.yamahamotos.cl/producto/pw-50/,2.299.000,2.299.000,0,0.0,2023-02-28 10:53:34.806700
YAMAHA,RAY-ZR,https://www.yamahamotos.cl/producto/cygnusrayzr/,1.999.000,1.899.000,0,0.0,2023-02-28 10:53:37.917653
YAMAHA,TENERE 700,https://www.yamahamotos.cl/producto/tenere-700/,13.490.000,13.490.000,0,0.0,2023-02-28 10:53:41.379576
YAMAHA,TT-R110E,https://www.yamahamotos.cl/producto/ttr-110e/,2.690.000,2.690.000,0,0.0,2023-02-28 10:53:44.618654
YAMAHA,WR-250F,https://www.yamahamotos.cl/producto/wr-250f/,9.359.000,9.359.000,0,0.0,2023-02-28 10:53:47.917036
YAMAHA,X-MAX 300,https://www.yamahamotos.cl/producto/scooter-yamaha-xmax-300/,6.690.000,5.590.000,5.990.000,400.0,2023-02-28 10:53:51.430227
YAMAHA,XT-1200 ZE,https://www.yamahamotos.cl/producto/xt-1200-ze/,15.990.000,15.990.000,0,0.0,2023-02-28 10:53:54.500425
YAMAHA,XTZ-125E,https://www.yamahamotos.cl/producto/xtz-125/,2.149.000,1.999.000,1.999.000,0.0,2023-02-28 10:53:57.790716
YAMAHA,XTZ-150,https://www.yamahamotos.cl/producto/xtz150/,2.699.000 ,,,0.0,2023-02-28 10:55:06.454076
YAMAHA,XVS-950 BOLT,https://www.yamahamotos.cl/producto/bolt/,11.590.000,11.590.000,0,0.0,2023-02-28 10:55:09.373490
YAMAHA,YBR-125Z,https://www.yamahamotos.cl/producto/ybr-125/,0,1.499.000,0,0.0,2023-02-28 10:55:12.574998
YAMAHA,YFM - 350A,https://www.yamahamotos.cl/producto/yfm-350a/,7.690.000,7.690.000,0,0.0,2023-02-28 10:55:15.716006
YAMAHA,YFM-700 FWAD,https://www.yamahamotos.cl/producto/new-grizzly-eps-se/,12.590.000,12.590.000,0,0.0,2023-02-28 10:55:18.765421
